,店點,店點代碼,地址,Latitude,Longitude
1,台中西屯,D*******,407台中市西屯區西屯路二段28之1號,25.0462585,121.5164218
2,嘉義中山,D*******,600嘉義市西區中山路397號1樓 ,23.4796922,120.4474045
3,台南成功,D*******,700台南市中西區成功路51號,22.9975972,120.209134
4,南京三民,D*******,105台北市松山區南京東路五段84號,25.0512622,121.561403
5,新豐新興二,D*******,304新竹縣新豐鄉新興路173號,24.8683815,120.9944187
6,彰化中正,D*******,500彰化縣彰化市中正路一段1號,24.0842156,120.5518431
7,台東更生,D*******,950台東縣台東市更生路119、121號1樓,22.7589366,121.1479204
8,新竹竹科,D*******,300新竹市東區光復路一段633號,24.7864946,121.0109178
9,忠孝正義,D*******,106台北市大安區忠孝東路三段208號,25.0414588,121.5397644
10,台北頂好,D*******,106台北市大安區忠孝東路四段71號1樓,25.041899,121.546878
11,永和竹林,D*******,234新北市永和區竹林路94號,25.012302,121.5194849
12,土城學府,D*******,236新北市土城區學府路一段76號,24.9883068,121.4565097
13,桃園桃鶯,D*******,330桃園市桃園區桃鶯路283號,24.983034,121.319041
14,太平中興,D*******,411台中市太平區中興路88之5號,24.1275722,120.7159162
15,高雄自由三,D*******,813高雄市左營區自由三路280、282號,22.673488,120.31212
16,台中精誠,D*******,403台中市西區精誠路43-8號,24.1528811,120.6552789
17,大雅民生,D*******,428台中市大雅區民興街147號,24.2267193,120.6496255
18,高雄慶豐,D*******,804高雄市鼓山區慶豐街6號,22.6661196,120.292819
19,台北日湖,D*******,114台北市內湖區成功路四段141號,25.0827791,121.5935389
20,景美萬隆,D*******,116台北市文山區羅斯福路五段266號,25.0005462,121.5393686
21,淡水中正東,D*******,251新北市淡水區中正東路49號,25.155858,121.459676
22,台北汐止,D*******,221新北市汐止區中興路206號,25.0661525,121.6313628
23,樹林中山,D*******,238新北市樹林區中山路一段65號,24.9917939,121.423758
24,高雄覺民,D*******,807高雄市三民區覺民路152號,22.6394301,120.3410437
25,台南東門,D*******,701台南市東區東門路二段123號,22.985862,120.221983
26,彰化員林,D*******,510彰化縣員林鎮中山南路4號,23.9560359,120.57076
27,台東中華,D*******,950台東縣台東市中華路一段518號,22.7515767,121.1504508
28,台中東海,D*******,434台中市龍井區台灣大道五段3巷32號,24.1828997,120.5909949
